Implementation,Claim,Metric,OPT Mean,OPT Min,OPT Max,ABL Mean,ABL Min,ABL Max
ES,C1,Cost,0.11,0.086,0.123,1.854,1.854,1.854
ES,C1,Latency,22.8,19.0,25.6,239.1,222.5,271.6
ES,C1,Correctness,3/3,,,3/3,,
ES,C2,Cost,0.094,0.094,0.094,1.851,1.851,1.851
ES,C2,Latency,24.6,23.9,25.4,274.9,199.8,413.1
ES,C2,Correctness,3/3,,,3/3,,
ES,C3,Cost,0.478,0.334,0.552,2.679,2.658,2.693
ES,C3,Latency,51.5,40.3,59.9,557.0,203.5,752.4
ES,C3,Correctness,3/3,,,3/3,,
ES,C4,Cost,0.227,0.225,0.228,1.85,1.85,1.85
ES,C4,Latency,34.4,26.3,42.9,255.1,197.0,343.8
ES,C4,Correctness,3/3,,,0/3,,
ES,C5,Cost,1.157,1.121,1.194,2.014,2.014,2.014
ES,C5,Latency,156.4,137.3,177.6,219.3,207.7,238.6
ES,C5,Correctness,3/3,,,3/3,,
ES,C6,Cost,0.245,0.244,0.246,2.04,2.04,2.04
ES,C6,Latency,51.4,41.0,69.7,252.6,238.0,275.9
ES,C6,Correctness,3/3,,,3/3,,
ES,C7,Cost,0.392,0.278,0.551,2.019,2.019,2.019
ES,C7,Latency,60.8,41.9,76.1,221.4,211.8,238.8
ES,C7,Correctness,3/3,,,3/3,,
ES,C8,Cost,1.087,1.04,1.112,2.018,2.018,2.018
ES,C8,Latency,150.0,137.9,163.9,232.2,209.0,265.0
ES,C8,Correctness,3/3,,,3/3,,
ES,C13,Cost,0.176,0.139,0.195,2.83,2.829,2.832
ES,C13,Latency,44.4,41.6,46.0,395.6,332.8,504.3
ES,C13,Correctness,3/3,,,3/3,,
ES,C14,Cost,0.1,0.099,0.101,1.919,1.919,1.919
ES,C14,Latency,30.7,29.8,31.4,372.2,368.4,377.8
ES,C14,Correctness,0/3,,,0/3,,
ES,C15,Cost,0.111,0.085,0.161,1.915,1.915,1.915
ES,C15,Latency,21.8,18.8,25.6,382.4,329.7,438.3
ES,C15,Correctness,3/3,,,3/3,,
ES,C16,Cost,0.134,0.114,0.171,2.661,2.635,2.674
ES,C16,Latency,30.0,28.3,32.7,332.7,270.7,408.6
ES,C16,Correctness,3/3,,,3/3,,
RS,C2,Cost,0.094,0.094,0.094,0.527,0.118,1.126
RS,C2,Latency,24.6,23.9,25.4,65.7,20.5,132.6
RS,C2,Correctness,3/3,,,3/3,,
