impl_model,f1,precision,recall
evg_abl_no_cache_claude-haiku-4-5,"0.97 [0.97, 0.97]","0.97 [0.97, 0.97]","0.97 [0.97, 0.98]"
evg_abl_no_es_claude-haiku-4-5,"0.96 [0.96, 0.96]","0.95 [0.95, 0.95]","0.97 [0.97, 0.98]"
evg_abl_no_est_claude-haiku-4-5,"0.97 [0.97, 0.97]","0.96 [0.96, 0.96]","0.97 [0.97, 0.97]"
evg_abl_no_fus_claude-haiku-4-5,"0.95 [0.95, 0.95]","0.96 [0.95, 0.96]","0.94 [0.94, 0.94]"
evg_abl_no_rs_claude-haiku-4-5,"0.97 [0.97, 0.97]","0.97 [0.97, 0.97]","0.98 [0.97, 0.98]"
evg_abl_no_sf_claude-haiku-4-5,"0.98 [0.97, 0.98]","0.97 [0.97, 0.97]","0.98 [0.98, 0.98]"
evg_opt_claude-haiku-4-5,"0.97 [0.97, 0.97]","0.97 [0.97, 0.97]","0.98 [0.97, 0.98]"
evg_opt_claude-opus-4-6,"0.99 [0.98, 0.99]","0.99 [0.99, 0.99]","0.98 [0.98, 0.98]"
evg_opt_claude-sonnet-4-6,"0.98 [0.98, 0.98]","0.99 [0.99, 0.99]","0.97 [0.97, 0.97]"
evg_opt_llama3.1-8b,"0.83 [0.82, 0.84]","0.90 [0.87, 0.92]","0.77 [0.77, 0.78]"
evg_opt_llama3.3-70b,"0.95 [0.95, 0.95]","0.95 [0.95, 0.95]","0.95 [0.95, 0.95]"
evg_opt_llama4-maverick,"0.92 [0.92, 0.92]","0.96 [0.96, 0.97]","0.88 [0.88, 0.89]"
evg_opt_llama4-scout,"0.71 [0.71, 0.71]","0.97 [0.97, 0.97]","0.56 [0.56, 0.56]"
evg_opt_snowflake-llama-3.3-70b,"0.95 [0.95, 0.95]","0.96 [0.96, 0.96]","0.94 [0.94, 0.95]"
evg_unopt_claude-haiku-4-5,"0.95 [0.95, 0.95]","0.95 [0.95, 0.95]","0.95 [0.95, 0.95]"
evg_unopt_claude-opus-4-6,"0.99 [0.99, 0.99]","1.00 [1.00, 1.00]","0.99 [0.99, 0.99]"
evg_unopt_snowflake-llama-3.3-70b,"0.93 [0.93, 0.93]","0.95 [0.95, 0.95]","0.92 [0.92, 0.92]"
