impl_model,formatted
evg_abl_no_cache_claude-haiku-4-5,"0.98 [0.98, 0.99]"
evg_abl_no_es_claude-haiku-4-5,"0.98 [0.98, 0.98]"
evg_abl_no_est_claude-haiku-4-5,"0.98 [0.98, 0.98]"
evg_abl_no_fus_claude-haiku-4-5,"0.98 [0.98, 0.98]"
evg_abl_no_rs_claude-haiku-4-5,"0.99 [0.98, 0.99]"
evg_abl_no_sf_claude-haiku-4-5,"0.98 [0.98, 0.99]"
evg_opt_claude-haiku-4-5,"0.98 [0.98, 0.98]"
evg_opt_claude-opus-4-6,"0.99 [0.99, 0.99]"
evg_opt_claude-sonnet-4-6,"0.99 [0.99, 0.99]"
evg_opt_llama3.1-8b,"0.92 [0.92, 0.92]"
evg_opt_llama3.3-70b,"0.98 [0.98, 0.98]"
evg_opt_llama4-maverick,"0.97 [0.96, 0.97]"
evg_opt_llama4-scout,"0.95 [0.95, 0.96]"
evg_opt_snowflake-llama-3.3-70b,"0.98 [0.98, 0.98]"
evg_unopt_claude-haiku-4-5,"0.98 [0.98, 0.98]"
evg_unopt_claude-opus-4-6,"1.00 [1.00, 1.00]"
evg_unopt_snowflake-llama-3.3-70b,"0.96 [0.96, 0.96]"
