impl_model,formatted
base_rm Claude Opus 4.6,"$0.999 [$0.996, $1.00]"
base_rm Claude Sonnet 4.6,"$0.600 [$0.594, $0.604]"
base_rm Claude Haiku 4.5,"$0.199 [$0.199, $0.199]"
rag_agent Claude Opus 4.6,"$3.76 [$3.71, $3.78]"
rag_agent Claude Sonnet 4.6,"$3.24 [$2.82, $3.60]"
rag_agent Claude Haiku 4.5,"$0.206 [$0.180, $0.226]"
evg_unopt Claude Opus 4.6,"$12.09 [$12.09, $12.09]"
evg_opt Claude Opus 4.6,"$3.76 [$3.60, $3.92]"
evg_opt Claude Sonnet 4.6,"$1.88 [$1.85, $1.94]"
evg_opt Claude Haiku 4.5,"$0.658 [$0.645, $0.675]"
evg_opt Llama 4 Maverick,"$0.108 [$0.102, $0.112]"
evg_opt Llama 4 Scout,"$0.082 [$0.082, $0.082]"
evg_opt Llama 3.1 8B,"$0.069 [$0.068, $0.071]"
