impl_model,accuracy,f1,precision,recall
base_rm Claude Haiku 4.5,"0.67 [0.66, 0.69]","0.74 [0.73, 0.76]","0.61 [0.60, 0.62]","0.96 [0.94, 1.00]"
base_rm Claude Opus 4.6,"0.78 [0.75, 0.81]","0.81 [0.78, 0.84]","0.71 [0.70, 0.73]","0.94 [0.88, 1.00]"
base_rm Claude Sonnet 4.6,"0.75 [0.72, 0.78]","0.78 [0.76, 0.81]","0.69 [0.67, 0.71]","0.90 [0.88, 0.94]"
evg_opt Claude Haiku 4.5,"0.88 [0.88, 0.88]","0.88 [0.88, 0.88]","0.83 [0.83, 0.83]","0.94 [0.94, 0.94]"
evg_opt Claude Opus 4.6,"0.94 [0.94, 0.94]","0.94 [0.94, 0.94]","0.89 [0.89, 0.89]","1.00 [1.00, 1.00]"
evg_opt Claude Sonnet 4.6,"0.91 [0.91, 0.91]","0.91 [0.91, 0.91]","0.88 [0.88, 0.88]","0.94 [0.94, 0.94]"
evg_opt Qwen3 Next,"0.82 [0.81, 0.84]","0.82 [0.81, 0.85]","0.82 [0.81, 0.82]","0.83 [0.81, 0.88]"
evg_opt Qwen3 VL,"0.86 [0.84, 0.88]","0.87 [0.85, 0.88]","0.83 [0.82, 0.83]","0.92 [0.88, 0.94]"
evg_opt_ref_query Claude Haiku 4.5,"0.75 [0.75, 0.75]","0.76 [0.76, 0.76]","0.72 [0.72, 0.72]","0.81 [0.81, 0.81]"
evg_opt_ref_query Claude Opus 4.6,"0.91 [0.91, 0.91]","0.91 [0.91, 0.91]","0.84 [0.84, 0.84]","1.00 [1.00, 1.00]"
evg_opt_ref_query Claude Sonnet 4.6,"0.88 [0.88, 0.88]","0.88 [0.88, 0.88]","0.83 [0.83, 0.83]","0.94 [0.94, 0.94]"
evg_opt_ref_query Qwen3 Next,"0.88 [0.88, 0.88]","0.88 [0.88, 0.88]","0.85 [0.83, 0.88]","0.92 [0.88, 0.94]"
evg_opt_ref_query Qwen3 VL,"0.83 [0.81, 0.84]","0.84 [0.82, 0.86]","0.80 [0.78, 0.82]","0.90 [0.88, 0.94]"
evg_unopt Claude Haiku 4.5,"0.88 [0.88, 0.88]","0.88 [0.88, 0.88]","0.83 [0.83, 0.83]","0.94 [0.94, 0.94]"
evg_unopt Claude Opus 4.6,"0.94 [0.94, 0.94]","0.94 [0.94, 0.94]","0.89 [0.89, 0.89]","1.00 [1.00, 1.00]"
evg_unopt Claude Sonnet 4.6,"0.88 [0.88, 0.88]","0.88 [0.88, 0.88]","0.83 [0.83, 0.83]","0.94 [0.94, 0.94]"
evg_unopt_ref_query Claude Haiku 4.5,"0.72 [0.72, 0.72]","0.74 [0.74, 0.74]","0.68 [0.68, 0.68]","0.81 [0.81, 0.81]"
evg_unopt_ref_query Claude Opus 4.6,"0.91 [0.91, 0.91]","0.91 [0.91, 0.91]","0.84 [0.84, 0.84]","1.00 [1.00, 1.00]"
evg_unopt_ref_query Claude Sonnet 4.6,"0.88 [0.88, 0.88]","0.88 [0.88, 0.88]","0.83 [0.83, 0.83]","0.94 [0.94, 0.94]"
rag_agent Claude Haiku 4.5,"0.66 [0.62, 0.69]","0.72 [0.67, 0.76]","0.61 [0.60, 0.62]","0.88 [0.75, 1.00]"
rag_agent Claude Opus 4.6,"0.71 [0.66, 0.75]","0.72 [0.69, 0.75]","0.70 [0.63, 0.75]","0.75 [0.75, 0.75]"
rag_agent Claude Sonnet 4.6,"0.75 [0.69, 0.78]","0.76 [0.71, 0.79]","0.73 [0.67, 0.76]","0.79 [0.75, 0.81]"
rlm Claude Haiku 4.5,"0.77 [0.72, 0.81]","0.76 [0.71, 0.80]","0.80 [0.73, 0.86]","0.73 [0.69, 0.75]"
rlm Claude Opus 4.6,"0.81 [0.78, 0.84]","0.81 [0.77, 0.84]","0.83 [0.80, 0.87]","0.79 [0.75, 0.81]"
rlm Claude Sonnet 4.6,"0.84 [0.81, 0.88]","0.83 [0.80, 0.88]","0.89 [0.86, 0.92]","0.79 [0.75, 0.88]"
